#Frame      Mode1    Mode2    Mode3
       1  -59.192   19.389  -20.309
       2  -67.754   28.413  -15.994
       3  -55.596   -8.881   -2.154
       4  -56.566  -10.947   -4.635
       5  -47.836   15.415  -17.232
       6  -56.887   -3.448   -7.249
       7  -58.335   -9.224   -2.020
       8  -60.581   -6.223    2.131
       9  -58.482  -11.339   -1.339
      10  -65.396  -10.983    3.498
      11  -56.582   -6.675    1.598
      12  -75.479   16.414    6.245
      13  -74.065    2.894    1.756
      14  -74.343   10.270    4.702
      15  -75.966    7.060    5.164
      16  -71.570    1.167    0.193
      17  123.569  -26.290   14.110
      18   84.243  -23.792    5.750
      19  -68.459   -3.002    5.663
      20  -70.864   -1.574    6.820
      21  -75.969    1.483    9.818
      22  -71.612   -0.328    6.222
      23  -69.483   -4.281    7.704
      24  -61.249   -6.839    5.608
      25  -75.571    5.640    2.959
      26  -75.239   11.196    8.225
      27  -75.771    4.504    4.990
      28  -75.563    0.171    4.841
      29  -74.919    7.191    1.972
      30  -74.250    7.679    4.909
      31  -75.338    5.179    4.394
      32  -73.955    4.437    3.477
      33  137.027    0.572    8.326
      34  110.973  -18.653   -2.831
      35   95.902  -23.779   -6.925
      36  117.372  -21.266    7.139
      37  -72.000    0.306   11.274
      38  -70.726   -4.644   10.372
      39  -70.442   -5.159    8.330
      40  -70.636   -0.295    7.768
      41  -57.074   -5.994   -0.637
      42  -66.577   -2.283    6.127
      43  -71.614   -1.212    9.887
      44  -70.403    1.295    9.901
      45  -70.290   -0.343    8.941
      46  -71.051    9.380   -2.808
      47  -70.944    9.229    1.410
      48  -73.393    7.154    6.864
      49  122.161   59.611  -11.299
      50  -55.763  -11.089  -14.416
      51  -53.074   -5.142  -14.816
      52  110.607  -11.847   -3.578
      53  -65.220   -1.752   -2.812
      54  -53.553   -9.518  -14.166
      55   74.095  -11.332  -18.647
      56  133.312   -1.911    4.047
      57  140.572   62.637   -4.187
      58  -63.521   -1.179   -3.356
      59  143.045   -1.195    7.841
      60  120.407   -8.706    1.698
      61  141.718   21.066   12.824
      62  134.823    0.117    6.953
      63  117.869   16.784    0.526
      64  143.846    3.267   12.127
      65  124.536   -5.474   -4.151
      66  -54.572   -3.050  -11.464
      67   71.627   -2.952  -22.449
      68   45.694   -5.007  -19.635
      69  129.098   -3.433    4.291
      70   74.833  -12.962  -20.158
      71  103.629   -4.854  -10.190
      72  102.075  -14.436   -8.961
      73  144.385   10.267   10.798
      74  -43.788   -6.247  -14.839
      75  117.127  -10.430    3.504
      76  145.635   26.332   11.738
      77  -62.630   -4.396   -5.519
      78   98.315  -15.304   -6.436
      79  137.021   -3.937    8.885
      80  -25.374   -2.915   -9.109
